0	0.00
1	0.03
2	0.07
3	0.11
4	0.15
8	0.30
16	0.62
25	0.95
35	1.26
44	1.54
53	1.80
62	2.04
73	2.26
82	2.46
91	2.65
100	2.83
110	3.01
121	3.16
132	3.31
142	3.45
152	3.57
163	3.69
173	3.79
183	3.88
193	3.97
205	4.05
215	4.12
225	4.18
235	4.24
246	4.30
256	4.35
267	4.40
277	4.44
288	4.48
298	4.52
308	4.55
318	4.58
329	4.60
340	4.63
350	4.65
360	4.67
371	4.69
381	4.71
391	4.73
402	4.75
413	4.76
423	4.77
433	4.78
443	4.79
453	4.80
465	4.82
475	4.82
485	4.83
495	4.84
506	4.85
516	4.85
526	4.85
537	4.86
548	4.87
558	4.87
568	4.88
578	4.88
589	4.88
600	4.89
610	4.89
620	4.89
631	4.90
641	4.90
651	4.90
661	4.90
673	4.91
683	4.91
693	4.91
703	4.91
714	4.91
724	4.91
735	4.92
745	4.92
756	4.92
766	4.92
776	4.92
786	4.92
798	4.93
808	4.92
818	4.93
828	4.92
839	4.93
849	4.93
859	4.93
870	4.93
881	4.93
891	4.93
901	4.93
911	4.93
921	4.93
933	4.93
943	4.94
953	4.93
963	4.94
974	4.93
984	4.94
994	4.94
1005	4.94
1017	4.94
1028	4.94
1039	4.94
1050	4.94
1063	4.93
1074	4.94
1085	4.94
1097	4.94
1108	4.94
1119	4.94
1131	4.94
1143	4.94
1154	4.94
1165	4.94
1176	4.94
1188	4.94
1200	4.94
1211	4.94
1223	4.94
1234	4.94
1245	4.94
1256	4.95
1269	4.94
1280	4.95
1291	4.95
1302	4.94
1314	4.95
1325	4.95
1337	4.95
1348	4.95
1360	4.95
1371	4.95
1382	4.95
1394	4.95
1406	4.95
1417	4.95
1428	4.95
1440	4.95
1451	4.95
1463	4.95
1474	4.95
1486	4.95
1497	4.95
1508	4.95
1519	4.95
1532	4.95
1543	4.95
1554	4.95
1566	4.95
1577	4.95
1588	4.95
1600	4.94
1612	4.95
1623	4.95
1634	4.95
1645	4.95
